시간,중요도,첨부,읽음,주제,제목,요약,첨부파일
 또한 시약 사용하실 때 선입 선출 기본이고 ",6월 1주 주간시약 재고 현황.msg

2026-06-02 09:08,보통,첨부,읽음,기타,RE: [업무요청] AFIAS Calprotectin 브로셔 검토_마케팅팀 송진주,"수신 : 이형록 대리님
 
 발신 : 마케팅팀 송진주
 
  
 
 안녕하세요 대리님!
 
  
 
 전달 주신 피드백 반영하여 첨부와 같이 AFIAS Calprotectin 국내 브로셔 초안을 작성하였습니다.
 
 확인 부탁 드리겠습니다!
 
  
 
  
 
 송진주 드림 
 
  
 
 From: 이형록 LEE HYEONG ROK <lhr2@bodit",Calprotectin 브로셔 초안 _국문 ver02 _마케팅팀 송진주 _20260601.pptx

2026-06-02 08:25,보통,일반,읽음,기타,Re: [업무요청] AFIAS Calprotectin 국영문 브로셔 _마케팅팀 송진주,"송진주 과장님, 안녕하세요.  AFIAS Calprotectin 국영문 브로셔는 유지원 사원님이 진행하겠습니다.  수고하세요. 이정현 드림  Lee Jung hyun Design Development / Team Manager Boditech Med Inc.​ Tel +82-33-243-1400 FAX +82-33-243-9373 Direct +82-70-",

2026-06-02 08:15,보통,일반,읽음,기타,RE: Regarding the strategic plan: Boditech Med Inc.: 2025.09.08,"Dear Burak,
 
  
 
 Thank you very much for your email and the update.
 
 Yes, if possible, we want to receive them all together, including the rest of 150 C. difficile tests by SD Biosensor.
 
  
 
 ",

2026-06-02 08:13,보통,첨부,읽음,소프트웨어,"ichroma PSA [PSWED08EX], Free PSA [F1WEB06EX], AFIAS PSA Neo[PSWDA47X] id chip 검수 요청","안녕하세요
 
 Cancer팀 임지은입니다.
 
  
 
 ichroma PSA [PSWED08EX], Free PSA [F1WEB06EX], AFIAS PSA Neo[PSWEA47X] id chip 검수 요청 드립니다.  
 
  
 
 감사합니다
 
 임지은 드림",260601 Free PSA idchip 검수_F1WEB06EX.xlsx; idchip_write_20230314_iChroma_A50_DualFormula_rev_051_F1WEB06EX.xlsx; 260528 Free PSA F1WEB06EX 수식제조기록서_28.01.05.xlsx; 260601 Free PSA F1WEB06EX id chip.txt; 260601 PSA Neo PSWED08EX id chip.txt; idchip_write_20240322_iChroma_A50_DualFormula_rev_067_PSWED08EX.xlsx; 260528 PSA Neo PSWED08EX 제조기록서_수식 ichroma_exp 28.01.05.xlsx; 260601 PSA Neo idchip 검수_PSWED08EX.xlsx; 260601 PSA Neo PSWEA47X 검수용 서식 파일.xlsx; IDCHIP_WRITE__AFIAS1_6_10_3_Rev_61_PSWEA47X.xlsm; 260527 PSA Neo PSWEA47X 수식작성 제조기록서_AFIAS_IJE_28.01.06.xlsx; 260601 AFIAS PSA Neo PSWEA47X id chip.txt

